Reference, Value, Footprint, Datasheet, Supplier, Supplier P/N, Supplier URL, Manufacturer, Manufacturer P/N, Datasheet URL, Description, Unit Cost, Accessory, Supplier URl, Manufacturer URL, NOTE
R15,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
U14,TCA9617B,custom_footprints:TCA9617B,http://www.ti.com/lit/ds/symlink/tca9617b.pdf,Digikey,296-40579-1-ND,http://www.digikey.com/product-detail/en/texas-instruments/TCA9617BDGKR/296-40579-1-ND/5178456,TI,TCA9617BDGKR,,Voltage Level Translator Bidirectional 1 Circuit 2 Channel 8-VSSOP,1.01,,,,
C34,.1u,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C32,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C33,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C36,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C35,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C31,10u,Capacitors_SMD:C_0805_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
C37,.1u,Capacitors_SMD:C_0603_HandSoldering,,DigiKey,478-5266-1-ND,http://www.digikey.com/product-detail/en/avx-corporation/02016D104KAT2A/478-5266-1-ND/1950933,AVX Corporation,02016D104KAT2A,http://datasheets.avx.com/cx5r.pdf,0.10µF 6.3V Ceramic Capacitor X5R 0201 (0603 Metric) 0.024" L x 0.012" W (0.60mm x 0.30mm),0.10,,,,
R16,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
R18,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
R17,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
R22,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
R26,510,Resistors_SMD:R_0805_HandSoldering,,DigiKey,RMCF0805JT510RCT-ND,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0805JT510R/RMCF0805JT510RCT-ND/1942552,Stackpole Electronics Inc.,RMCF0805JT510R,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,RES SMD 510 OHM 5% 1/8W 0805,0.10,,,,
